Animal_ID,Deployment_ID,Tags_SatTag_Manufacturer,Tags_SatTag_Model,Tags_SatTag_ID,Tags_PTT,Data_Track_QCFlag,Tags_SatTag_Comments,Tags_TDR1_Manufacturer,Tags_TDR1_Model,Tags_TDR1_ID,Tags_TDR1_Loc,Data_TDR1_QCFlag,Tags_TDR1_Comments,Tags_TDR2_Manufacturer,Tags_TDR2_Model,Tags_TDR2_ID,Tags_TDR2_Loc,Data_TDR2_QCFlag,Tags_TDR2_Comments,Tags_TDR3_Manufacturer,Tags_TDR3_Model,Tags_TDR3_ID,Tags_TDR3_Loc,Data_TDR3_QCFlag,Tags_TDR3_Comments,Data_TDR1_DepthResolution_m,Data_TDR1_SamplingFrequency_Hz,Data_TDR2_DepthResolution_m,Data_TDR2_SamplingFrequency_Hz,Data_TDR3_DepthResolution_m,Data_TDR3_SamplingFrequency_Hz,Deployment_Departure_Datetime,Deployment_Arrival_Datetime,Deployment_Departure_Lat,Deployment_Departure_Lon,Deployment_Arrival_Lat,Deployment_Arrival_Lon,Deployment_Departure_Loc,Deployment_Arrival_Loc,Deployment_Trip,Animal_BirthYear,Animal_AgeClass,Animal_Sex,Deployment_Manipulation,Deployment_ManipulationType,Animal_HadPup,Deployment_Year
N513,2004032,Wildlife Computers,SPOT,NA,44632,3,NA,Wildlife Computers,Mk9,490117,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/10/2004 18:15,1/23/2005 11:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1996,Adult,F,N,NA,Y,2004
O284,2004033,SMRU,NA,9908,14749,3,NA,Wildlife Computers,Mk9,490132,Back,1,NA,SMRU,NA,9908,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/10/2004 18:15,1/24/2005 12:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2004
S152,2004034,SMRU,NA,1195,13365,3,NA,Wildlife Computers,Mk9,490152,Back,1,NA,SMRU,NA,1195,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/13/2004 1:00,1/31/2005 9:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,Y,2004
L274,2004035,Wildlife Computers,SPOT,NA,39453,3,NA,Wildlife Computers,Mk9,490233,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/18/2004 14:30,1/29/2005 7:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,Y,2004
L752,2004036,SMRU,NA,9921,14759,3,many low quality locations,Wildlife Computers,Mk9,490153,Back,3,NA,SMRU,NA,9921,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/8/2004 8:15,1/19/2005 4:47,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,Y,2004
R803,2004037,Wildlife Computers,SPOT,NA,39457,4,extremely sparse data,Wildlife Computers,Mk9,490231,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/21/2004 8:15,2/5/2005 16:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,Y,2004
2922,2004038,Wildlife Computers,Mk10,04L0006,44640,4,NA,Wildlife Computers,Mk10,04L0006,Head,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,7/8/2004 10:45,2/18/2005 13:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,NA,Y,2004
2924,2004039,Wildlife Computers,Mk10,04L0008,37590,4,NA,Wildlife Computers,Mk10,04L0008,Head,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,7/3/2004 2:30,2/1/2005 7:00,37.116396,-122.330756,35.667047,-121.278566,ANNU,PIBL,PM,NaN,Adult,F,N,NA,Y,2004
O968,2005001,Wildlife Computers,SPOT,NA,37592,3,NA,Wildlife Computers,Mk9,490124,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/15/2005 8:00,4/24/2005 22:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,NA,N/A,2005
R792,2005002,Wildlife Computers,SPOT,NA,56475,1,NA,Wildlife Computers,Mk9,490115,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,2/14/2005 12:00,4/13/2005 22:00,37.116396,-122.330756,NaN,NaN,ANNU,NA,PB,2000,Adult,F,N,NA,N/A,2005
