FieldID,TOPPID,PTTID,AnimalID,DepartDate,DepartDateMethod,EndTripDate,EndTripDateMethod,ArriveDate,ArriveDateMethod,DepartLat,DepartLon,ArriveLat,ArriveLon,DepartLoc,ArriveLoc,Season,BirthYear,AgeClass,Sex,Manipulation,ManipulationType,Comments,
1914,2005005,56473,NESE0121ANNU,02/14/2005 23:25:00,TDR,05/01/2005 09:00:00,TDR,05/01/2005 09:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,,,
O585,2005006,24176,NESE0122ANNU,02/21/2005 21:30:00,TDR,05/14/2005 22:00:00,TDR,05/14/2005 22:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
L868,2005007,26341,NESE0123ANNU,02/18/2005 00:50:00,TDR,05/07/2005 18:00:00,TDR,05/07/2005 18:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1995,Adult,F,N,,,
N410,2005008,25966,NESE0124ANNU,02/23/2005 03:00:00,TDR,05/05/2005 04:45:00,TDR,05/05/2005 04:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1997,Adult,F,N,,,
N513,2005009,44632,NESE0125ANNU,02/23/2005 18:30:00,TDR,05/06/2005 04:45:00,TDR,05/06/2005 04:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,,,
1535,2005010,56474,NESE0126ANNU,02/21/2005 22:00:00,TDR,05/09/2005 23:45:00,TDR,05/09/2005 23:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,,,
1595,2005011,44633,NESE0127ANNU,03/02/2005 12:45:00,TDR,05/18/2005 23:45:00,TDR,05/18/2005 23:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,,,
N354,2005012,44639,NESE0128ANNU,03/02/2005 03:00:00,TDR,05/19/2005 07:45:00,TDR,05/19/2005 07:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,NaN,Adult,F,N,,,
M627,2005013,56476,NESE0129ANNU,02/27/2005 04:15:00,TDR,05/28/2005 01:30:00,TDR,05/28/2005 01:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,,,
R440,2005014,56477,NESE0130ANNU,02/27/2005 13:00:00,TDR,05/19/2005 01:00:00,TDR,05/19/2005 01:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,,,
R528,2005015,56479,NESE0131ANNU,03/01/2005 03:00:00,TDR,05/30/2005 21:00:00,TDR,05/30/2005 21:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,,,
R834,2005016,28592,NESE0132ANNU,03/03/2005 05:15:00,TDR,05/02/2005 19:00:00,TDR,05/02/2005 19:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,,,
L274,2005017,39453,NESE0133ANNU,02/27/2005 08:00:00,TDR,05/20/2005 21:45:00,TDR,05/20/2005 21:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1995,Adult,F,N,,,
O176,2005018,56478,NESE0134ANNU,03/03/2005 12:00:00,TDR,05/07/2005 09:45:00,TDR,05/07/2005 09:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
W1095,2005019,22925,NESE0135ANNU,03/04/2005 07:00:00,TDR,05/19/2005 09:45:00,TDR,05/19/2005 09:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
1913,2005020,56480,NESE0145ANNU,05/23/2005 01:30:00,PTT,11/24/2005 16:00:00,PTT,,,37.116396,-122.330756,,,ANNU,,PM,2001,Adult,F,N,,not recovered,
L844,2005021,56481,NESE0146ANNU,05/24/2005 02:45:00,TDR,01/08/2006 11:00:00,TDR,01/08/2006 11:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,,
O651,2005022,56482,NESE0147ANNU,05/30/2005 12:00:00,PTT,01/05/2006 20:00:00,PTT,01/05/2006 20:00:00,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1997,Adult,F,N,,,
K464,2005023,56483,NESE0148ANNU,06/01/2005 01:00:00,TDR,11/06/2005 10:30:00,TDR,11/06/2005 10:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1994,Adult,F,N,,,
1544,2005024,56484,NESE0149ANNU,05/23/2005 05:00:00,TDR,01/02/2006 00:00:00,TDR,01/02/2006 00:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,,,
O911,2005025,56485,NESE0150ANNU,06/05/2005 14:00:00,PTT,01/12/2006 05:30:00,PTT,01/12/2006 05:30:00,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
K598,2005026,56486,NESE0151ANNU,05/30/2005 01:30:00,TDR,01/04/2006 04:15:00,TDR,01/04/2006 04:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1994,Adult,F,N,,,
L521,2005027,56487,NESE0152ANNU,05/30/2005 11:45:00,TDR,01/08/2006 08:45:00,TDR,01/08/2006 08:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,,
O 55,2005028,56488,NESE0153ANNU,05/16/2005 00:45:00,TDR,01/05/2006 10:00:00,TDR,01/05/2006 10:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
L563,2005029,56489,NESE0154ANNU,06/01/2005 23:15:00,TDR,01/14/2006 21:45:00,TDR,01/14/2006 21:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,,,
R797,2005030,56490,NESE0155ANNU,06/05/2005 05:45:00,TDR,01/18/2006 07:00:00,PTT,01/18/2006 07:00:00,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
O401,2005031,56491,NESE0156ANNU,05/31/2005 01:00:00,TDR,01/12/2006 00:15:00,TDR,01/12/2006 00:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
R848,2005032,56492,NESE0157ANNU,06/07/2005 00:30:00,PTT,12/05/2005 20:00:00,PTT,,,37.116396,-122.330756,,,ANNU,,PM,2000,Adult,F,N,,not recovered,
O448,2005033,37591,NESE0158ANNU,06/04/2005 02:30:00,TDR,01/14/2006 05:00:00,PTT,01/14/2006 05:00:00,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
M141,2005034,37593,NESE0159ANNU,06/10/2005 20:45:00,TDR,01/15/2006 10:15:00,TDR,01/15/2006 10:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
N410,2005035,22922,NESE0160ANNU,06/17/2005 05:00:00,TDR,02/03/2006 01:15:00,TDR,02/03/2006 01:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1997,Adult,F,N,,starts late ends early,
1914,2005036,39454,NESE0161ANNU,06/15/2005 06:45:00,TDR,01/23/2006 01:15:00,TDR,01/23/2006 01:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,,,
